feature,importance
bulk_EMT_FIBROSIS_mean,0.00016299564458434622
rna_T_CELL_CYTOTOXIC_gene01_logCPM,0.00016280531043342498
mech_mean_suppression_activity_late_slope,0.0001620348563353745
bulk_CYTOTOXICITY_GZMB_PRF1_NKG7_q90,0.00016084869776555232
rna_IFNG_RESPONSE_module_sd_logCPM,0.00016008033039246255
rna_TGFB_SIGNALING_gene06_logCPM,0.00015932968348398723
rna_TNF_NFKB_gene05_logCPM,0.00015675816573324482
rna_ECM_REMODELING_gene04_logCPM,0.00015669939610895838
spatial_CYTOTOXICITY_GZMB_PRF1_NKG7_var,0.0001564018940700555
rna_ECM_REMODELING_module_sd_logCPM,0.00015487613182400142
rna_WOUND_HEALING_module_sd_logCPM,0.0001546427985660395
spatial_M2_REPAIR_CD163_MRC1_IL10_var,0.00015317572410055775
rna_INFLAMMATORY_RESPONSE_module_mean_logCPM,0.00015164252526645534
rna_ECM_REMODELING_gene01_logCPM,0.0001514989458207817
rna_IFNG_RESPONSE_gene06_logCPM,0.00015108283628650682
mech_total_cells_auc,0.00015045674368619022
rna_EXHAUSTION_PD1_LAG3_TIM3_module_mean_logCPM,0.00015008254539996998
rna_WOUND_HEALING_gene04_logCPM,0.00014744002307123937
bulk_IL6_JAK_STAT3_std,0.0001467172876076042
rna_M2_REPAIR_CD163_MRC1_IL10_module_mean_logCPM,0.00014625971255903715
bulk_T_CELL_CYTOTOXIC_q90,0.00014544175936580998
bulk_ECM_STROMAL_BARRIER_std,0.0001450531047083609
rna_TREG_gene01_logCPM,0.00014078206872844464
spatial_EMT_FIBROSIS_var,0.000140466029751267
rna_INFLAMMATORY_RESPONSE_gene01_logCPM,0.00014002750880525239
bulk_TNF_NFKB_mean,0.00013999321837869578
rna_APOPTOSIS_gene02_logCPM,0.00013815810368739216
bulk_ECM_REMODELING_q90,0.00013329167968343232
rna_APOPTOSIS_module_sd_logCPM,0.00013119613389502583
mech_count_t_cell_auc,0.00012845172188864177
rna_IL6_JAK_STAT3_module_sd_logCPM,0.00012758330470032865
spatial_APOPTOSIS_moran_proxy,0.00012564715512739481
bulk_TREG_FOXP3_IL2RA_CTLA4_std,0.00012528574071213675
bulk_INFLAMMATORY_RESPONSE_q90,0.00012512718972582015
rna_MACROPHAGE_gene04_logCPM,0.0001237460273318957
rna_TREG_gene05_logCPM,0.00012263386732118327
bulk_NK_CELL_std,0.00012169562571834223
rna_IL6_JAK_STAT3_gene05_logCPM,0.0001209514850154549
spatial_EXHAUSTION_PD1_LAG3_TIM3_var,0.00011942063558128245
rna_MYELOID_SUPPRESSION_gene05_logCPM,0.00011926004911599946
bulk_DAMAGE_STRESS_q90,0.00011924587510134003
rna_WOUND_HEALING_gene05_logCPM,0.00011917362499509977
rna_MACROPHAGE_module_sd_logCPM,0.00011883764293836506
spatial_inflammatory_heterogeneity,0.00011680770605015102
bulk_ECM_REMODELING_mean,0.0001145831682620412
bulk_DAMAGE_STRESS_std,0.00011373564249184312
spatial_INFLAMMATORY_RESPONSE_moran_proxy,0.0001122246967413026
bulk_APOPTOSIS_std,0.00011185767462477185
rna_DAMAGE_STRESS_gene06_logCPM,0.00011145285222852117
mech_total_cells_q50,0.00010888997785692507
bulk_EXHAUSTION_PD1_LAG3_TIM3_std,0.00010828789109332097
rna_WOUND_HEALING_module_mean_logCPM,0.00010684549199745573
spatial_ECM_REMODELING_q95,0.00010513054835531916
mech_mean_cytotoxic_activity_late_slope,0.00010334313459484202
rna_EMT_FIBROSIS_gene05_logCPM,0.00010278304870335233
spatial_EMT_FIBROSIS_q95,0.00010159385335638377
bulk_cytotoxic_to_exhaustion,0.0001010962326099534
spatial_INFLAMMATORY_RESPONSE_var,9.94814443365597e-05
rna_INFLAMMATORY_RESPONSE_spatial_var_proxy,9.919863110858658e-05
rna_ECM_STROMAL_BARRIER_gene06_logCPM,9.77225888748721e-05
rna_TGFB_SIGNALING_module_mean_logCPM,9.740869568218363e-05
