task,model,split,class_or_average,status,precision,recall,f1-score,support
regime_classification_all_models,Hybrid Type IV: reduced state-space PINN,train,immune_excluded,ok,0.7272727272727273,0.8,0.7619047619047619,30.0
regime_classification_all_models,Hybrid Type IV: reduced state-space PINN,train,suppressed,ok,0.7878787878787878,0.8666666666666667,0.8253968253968254,30.0
regime_classification_all_models,Hybrid Type IV: reduced state-space PINN,train,macro avg,ok,0.7622564935064935,0.76,0.7583122929062862,150.0
regime_classification_all_models,Hybrid Type IV: reduced state-space PINN,train,weighted avg,ok,0.7622564935064936,0.76,0.7583122929062862,150.0
regime_classification_all_models,Hybrid Type IV: reduced state-space PINN,test,acute_resolving,ok,0.0,0.0,0.0,10.0
regime_classification_all_models,Hybrid Type IV: reduced state-space PINN,test,chronic,ok,0.1891891891891892,0.7,0.2978723404255319,10.0
regime_classification_all_models,Hybrid Type IV: reduced state-space PINN,test,hyperinflammatory,ok,0.1,0.1,0.1,10.0
regime_classification_all_models,Hybrid Type IV: reduced state-space PINN,test,immune_excluded,ok,0.0,0.0,0.0,10.0
regime_classification_all_models,Hybrid Type IV: reduced state-space PINN,test,suppressed,ok,0.0,0.0,0.0,10.0
regime_classification_all_models,Hybrid Type IV: reduced state-space PINN,test,macro avg,ok,0.057837837837837844,0.15999999999999998,0.07957446808510638,50.0
regime_classification_all_models,Hybrid Type IV: reduced state-space PINN,test,weighted avg,ok,0.057837837837837844,0.16,0.07957446808510638,50.0
